,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense
307,Bodily Force,Male,White,Tensed,Steven's Square - Loring Heights,Drunk/Intoxicated Person ,LOITER
308,Chemical Irritant,Male,White,Tensed,Downtown West,Suspicious Person ,DISCON
309,Bodily Force,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE
310,Bodily Force,Male,White,Commission of Crime,Corcoran,Domestic Abuse-In Progress ,NARC
311,Bodily Force,Male,Black,Tensed,Midtown Phillips,Domestic Abuse-In Progress ,DASLT5
312,Bodily Force,Male,Black,Commission of Crime,Near - North,Recover Vehicle ,RECVEH
313,Taser,Male,White,Tensed,Lowry Hill East,Suspicious Person ,DISCON
314,Bodily Force,Male,White,Tensed,Jordan,Traffic Law Enforcement ,OBSTRU
315,Chemical Irritant,Male,Asian,Verbal Non-Compliance,Downtown West,Disturbance ,DISCON
316,Bodily Force,Male,Black,Verbal Non-Compliance,Willard - Hay,Property Damage Accident ,ASLT2
317,Bodily Force,Male,Asian,Fled on Foot,Folwell,Chase on Foot ,OBSTRU
318,Bodily Force,Male,White,Commission of Crime,East Phillips,Suspicious Person ,OBSTRU
319,Bodily Force,Male,Asian,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL
320,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE
321,Bodily Force,Male,Black,Fled on Foot,Jordan,Suspicious Person ,OBSTRU
322,Bodily Force,Male,White,Tensed,Sheridan,Unwanted Person ,OBSTRU
323,Chemical Irritant,Female,White,Commission of Crime,CARAG,Domestic Abuse-In Progress ,DISCON
324,Bodily Force,Male,Black,Tensed,Hawthorne,Neighbor Trouble ,OBSTRU
325,Improvised Weapon,Male,White,Fled on Foot,Waite Park,Unknown Trouble ,DASLT5
326,Bodily Force,Male,Other / Mixed Race,Tensed,Nicollet Island - East Bank,Poss Personal Injury Acc ,DWI
327,Bodily Force,Male,Black,Verbal Non-Compliance,Near - North,Loud Party ,FORCE
328,Bodily Force,Male,Black,Fled on Foot,Steven's Square - Loring Heights,Narcotics ,NARC
329,Bodily Force,Male,Black,Fled on Foot,Folwell,Recover Vehicle ,RECVEH
330,Taser,Male,Black,Fled in Vehicle,Hawthorne,Traffic Law Enforcement ,FLEE
331,Bodily Force,Male,White,Unspecified,Downtown West,Assist EMS Personnel ,DISCON
332,Bodily Force,Male,White,Fled in Vehicle,Logan Park,Motor Vehicle Chase ,FLEE
333,Police K9 Bite,Male,Black,Fled on Foot,Seward,Burglary Dwlng In Progress ,BURGD
334,Chemical Irritant,Female,Black,Verbal Non-Compliance,East Phillips,Suspicious Vehicle ,WT
335,Bodily Force,Male,Black,Tensed,Waite Park,Domestic Abuse-In Progress ,OBSTRU
336,Bodily Force,Male,Native American,Tensed,Hawthorne,Domestic Abuse-In Progress ,OBSTRU
337,Bodily Force,Male,White,Unspecified,Lyndale,Suspicious Vehicle ,NOINS
339,Bodily Force,Male,White,Unspecified,Hawthorne,Person with a Gun ,FORCE
340,Bodily Force,Male,White,Commission of Crime,Downtown West,Fight ,DISCON
341,Police K9 Bite,Male,Asian,Fled on Foot,Folwell,Chase on Foot ,OBSTRU
342,Bodily Force,Male,Black,Tensed,Willard - Hay,Domestic Abuse-In Progress ,DASLT5
343,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON
344,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU
345,Bodily Force,Male,Black,Fled on Foot,Ventura Village,Suspicious Person ,OBSTRU
346,Taser,Male,Black,Fled on Foot,Holland,Suspicious Vehicle ,FLEEFT
347,Bodily Force,Male,White,Fled on Foot,Lowry Hill East,Damage Property-In Progress,OBSTRU
348,Chemical Irritant,Female,Black,Unspecified,Downtown West,Fight ,DISCON
349,Taser,Male,White,Tensed,Hawthorne,Stabbing ,DASLT2
350,Taser,Male,Black,Verbal Non-Compliance,Cleveland,Disturbance ,ASLT5
351,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU
352,Bodily Force,Male,Native American,Commission of Crime,Marcy Holmes,Suspicious Person ,DASLT5
353,Bodily Force,Male,Black,Assaulted Officer,Willard - Hay,Officer Needs Help ,FLEE
354,Bodily Force,Female,Black,Assaulted Officer,Bottineau,Suspicious Person ,DISCON
355,Taser,Male,White,Commission of Crime,East Phillips,Suspicious Person ,OBSTRU
356,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Suspicious Person ,NARC
357,Taser,Male,White,Tensed,Whittier,Suspicious Person ,ROBPER
358,Bodily Force,Male,Black,Fled on Foot,McKinley,Suspicious Person ,FLEEFT
359,Bodily Force,Male,Black,Fled in Vehicle,Ventura Village,Suspicious Vehicle ,FLEE
360,Bodily Force,Male,Black,Unspecified,Central,Suspicious Vehicle ,RECVEH
361,Bodily Force,Male,White,Tensed,Sheridan,Unwanted Person ,OBSTRU
362,Police K9 Bite,Male,Black,Fled in Vehicle,Steven's Square - Loring Heights,Motor Vehicle Chase ,FLEE
363,Bodily Force,Male,Black,Fled in Vehicle,Downtown West,Traffic Law Enforcement ,FLEE
364,Bodily Force,Male,Black,Tensed,Audubon Park,Assault in Progress ,FORCE
365,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Disturbance ,ASLT5
366,Bodily Force,Male,White,Tensed,East Phillips,Assault in Progress ,OBSTRU
367,Bodily Force,Male,Black,Unspecified,Bancroft,Traffic Law Enforcement ,NARC
368,Chemical Irritant,Male,Black,Tensed,Downtown West,Suspicious Person ,DISCON
369,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Fight ,ASLT4
370,Bodily Force,Male,Black,Unspecified,Willard - Hay,Suspicious Person ,OBSTRU
371,Bodily Force,Male,Black,Fled on Foot,McKinley,Suspicious Vehicle ,FLEEFT
372,Bodily Force,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON
373,Bodily Force,Male,Black,Commission of Crime,Hawthorne,Suspicious Person ,NARC
374,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Fight ,OBSTRU
375,Bodily Force,Male,Black,Tensed,Downtown West,Fight ,FORCE
376,Taser,Male,Native American,Commission of Crime,Midtown Phillips,Unknown Trouble ,DISCON
377,Bodily Force,Male,White,Tensed,Whittier,Burglary Dwlng In Progress ,BURGD
378,Bodily Force,Female,Black,Tensed,Downtown West,Disturbance ,DISCON
379,Bodily Force,Male,White,Tensed,East Phillips,Assault in Progress ,OBSTRU
380,Chemical Irritant,Male,Black,Unspecified,Downtown West,Fight ,FORCE
381,Bodily Force,Male,White,Verbal Non-Compliance,Morris Park,Domestic ,OBSTRU
382,Chemical Irritant,Male,Black,Assaulted Officer,Victory,Fight ,ASLT4
383,Baton,Male,Black,Verbal Non-Compliance,Lynnhurst,Customer Trouble ,OBSTRU
384,Chemical Irritant,Female,Black,Tensed,Bryant,Traffic Law Enforcement ,FLEEFT
385,Bodily Force,Male,White,Assaulted Officer,Seward,Fight ,OBSTRU
386,Bodily Force,Female,White,Verbal Non-Compliance,Downtown East,Disturbance ,DISCON
387,Bodily Force,Female,Other / Mixed Race,Tensed,Como,Domestic ,RORDER
388,Chemical Irritant,Male,Black,Tensed,North Loop,Suspicious Person ,TRSPAS
389,Bodily Force,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON
390,Taser,Male,Black,Tensed,Phillips West,Suspicious Vehicle ,NARC
391,Bodily Force,Male,Black,Tensed,Elliot Park,Suspicious Person ,NARC
392,Bodily Force,Male,Other / Mixed Race,Verbal Non-Compliance,Marcy Holmes,Fight ,OBSTRU
393,Firearm,Male,Black,Commission of Crime,Downtown West,Suspicious Vehicle ,DAMMV
394,Bodily Force,Male,White,Tensed,Hawthorne,Stabbing ,DASLT2
395,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU
396,Bodily Force,Male,White,Verbal Non-Compliance,Waite Park,Domestic Abuse-In Progress ,911INT
397,Bodily Force,Male,Black,Commission of Crime,St. Anthony West,Prowler ,OBSTRU
398,Bodily Force,Female,Native American,Tensed,East Phillips,Assault in Progress ,DASLT5
399,Bodily Force,Male,Black,Unspecified,Jordan,Robbery Dwell in Progress ,BURGD
400,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE
401,Taser,Male,White,Unspecified,Audubon Park,Unknown Trouble ,CIC
402,Taser,Male,Black,Tensed,Downtown West,Disturbance ,DISCON
403,Bodily Force,Male,Black,Fled on Foot,Folwell,Traffic Law Enforcement ,FLEE
404,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Fight ,ASLT4
405,Bodily Force,Male,Black,Fled on Foot,Jordan,Chase on Foot ,FLEEFT
406,Bodily Force,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON
407,Bodily Force,Male,White,Verbal Non-Compliance,Lyndale,Unwanted Person ,FORCE
408,Bodily Force,Male,White,Unspecified,Sheridan,Traffic Law Enforcement ,WEAP
409,Chemical Irritant,Female,Black,Verbal Non-Compliance,Seward,Attempt Pick-Up ,OBSTRU
410,Bodily Force,Male,White,Tensed,Waite Park,Damage Property-In Progress,OBSTRU
411,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Suspicious Vehicle ,FLEE
412,Bodily Force,Male,White,Verbal Non-Compliance,Hawthorne,Traffic Law Enforcement ,NARC
413,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Suspicious Person ,FLEEFT
414,Bodily Force,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE
415,Bodily Force,Male,Black,Tensed,Hawthorne,Neighbor Trouble ,OBSTRU
416,Taser,Male,Black,Tensed,Central,Traffic Law Enforcement ,OBSTRU
417,Taser,Male,Black,Fled on Foot,Jordan,Attempted Suicide ,CIC
418,Bodily Force,Male,Black,Tensed,Jordan,Traffic Law Enforcement ,NARC
419,Bodily Force,Male,Black,Verbal Non-Compliance,Jordan,Traffic Law Enforcement ,FLEE
420,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Person ,RECVEH
421,Taser,Male,White,Tensed,Downtown West,Suspicious Person ,ASLT5
422,Bodily Force,Male,Black,Unspecified,Willard - Hay,Suspicious Person ,OBSTRU
423,Bodily Force,Male,Black,Fled on Foot,Ventura Village,Suspicious Person ,OBSTRU
424,Bodily Force,Female,Black,Commission of Crime,Downtown West,Fight ,OBSTRU
425,Chemical Irritant,Male,Black,Tensed,St. Anthony East,Disturbance ,OBSTRU
426,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Drunk/Intoxicated Person ,WT
427,Taser,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,ASLT5
428,Bodily Force,Male,Black,Tensed,Cleveland,Domestic Abuse-In Progress ,DASLT5
429,Bodily Force,Female,White,Verbal Non-Compliance,Marcy Holmes,Traffic Law Enforcement ,OBSTRU
430,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,ASLT4
431,Taser,Male,Black,Verbal Non-Compliance,Downtown West,Disturbance ,DISCON
432,Bodily Force,Male,White,Fled on Foot,Hawthorne,Traffic Law Enforcement ,OBSTRU
433,Taser,Male,White,Tensed,Downtown West,Suspicious Person ,DISCON
434,Bodily Force,Male,Black,Fled on Foot,Audubon Park,Suspicious Person ,WEAP
435,Taser,Male,Native American,Unspecified,Longfellow,Unwanted Person ,OBSTRU
436,Bodily Force,Male,Black,Fled on Foot,Ventura Village,Emotionally Disturb Person ,CIC
437,Bodily Force,Male,White,Fled on Foot,Lowry Hill East,Damage Property-In Progress,OBSTRU
438,Bodily Force,Male,Black,Fled in Vehicle,Jordan,Suspicious Vehicle ,FLEE
439,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Person ,RECVEH
440,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU
441,Taser,Male,Native American,Tensed,King Field,Assist EMS Personnel ,CIC
442,Bodily Force,Male,Black,Verbal Non-Compliance,Central,Fight ,OBSTRU
443,Bodily Force,Female,White,Verbal Non-Compliance,Harrison,Disturbance ,OBSTRU
444,Bodily Force,Male,Black,Tensed,Downtown West,Unknown Wireless/Cell Phone,CIC
445,Bodily Force,Male,Black,Fled on Foot,Downtown West,Code 3 ,ASLT5
446,Bodily Force,Male,Black,Verbal Non-Compliance,Hawthorne,Domestic ,OBSTRU
447,Taser,Male,White,Commission of Crime,Downtown West,Disturbance ,DISCON
448,Bodily Force,Male,White,Commission of Crime,Marcy Holmes,Fight ,FLEEFT
449,Bodily Force,Male,Black,Verbal Non-Compliance,Hawthorne,Suspicious Person ,OBSTRU
450,Bodily Force,Male,White,Tensed,East Isles,Customer Trouble ,DISCON
451,Bodily Force,Female,Black,Tensed,Lind - Bohanon,Unwanted Person ,DAMPRP
452,Bodily Force,Male,Black,Tensed,Jordan,Traffic Law Enforcement ,NARC
453,Chemical Irritant,Male,Native American,Unspecified,Downtown West,Suspicious Person ,FORCE
454,Bodily Force,Male,Black,Unspecified,Bancroft,Traffic Law Enforcement ,NARC
455,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON
456,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU
457,Bodily Force,Male,Black,Tensed,Hawthorne,Suspicious Person ,NARC
458,Bodily Force,Female,Black,Unspecified,Downtown West,Suspicious Person ,NARC
459,Taser,Male,Native American,Verbal Non-Compliance,Corcoran,Down Outside-One ,DISCON
460,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Fight ,THFTSW
461,Bodily Force,Male,Black,Tensed,Longfellow,Unwanted Person ,FORCE
462,Bodily Force,Male,Black,Fled on Foot,Jordan,Suspicious Vehicle ,NARC
463,Bodily Force,Male,White,Assaulted Officer,Cedar Riverside,Emotionally Disturb Person ,ASLT4
464,Bodily Force,Male,White,Verbal Non-Compliance,Lowry Hill East,Suspicious Person ,ASLT5
465,Taser,Male,Black,Verbal Non-Compliance,Jordan,Fight ,OBSTRU
466,Bodily Force,Male,Black,Fled in Vehicle,Jordan,Suspicious Vehicle ,FLEE
467,Taser,Male,Black,Commission of Crime,Jordan,Traffic Law Enforcement ,OBSTRU
468,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU
469,Bodily Force,Male,Black,Tensed,Near - North,Unknown Trouble ,DASTR
470,Bodily Force,Male,Black,Fled in Vehicle,Folwell,Suspicious Vehicle ,FLEE
471,Bodily Force,Male,White,Tensed,Hawthorne,Suspicious Person ,MISC
472,Bodily Force,Male,Black,Fled on Foot,Bryant,Traffic Law Enforcement ,FLEEFT
473,Bodily Force,Male,Black,Fled on Foot,Near - North,Suspicious Person ,FLEEFT
474,Chemical Irritant,Male,Black,Verbal Non-Compliance,Downtown West,On Site ,DISCON
475,Bodily Force,Male,Black,Fled on Foot,Shingle Creek,Burglary Dwlng In Progress ,BURGD
476,Taser,Female,Black,Tensed,Hawthorne,Assault in Progress ,OBSTRU
477,Taser,Male,White,Commission of Crime,Downtown West,Suspicious Person ,DISCON
478,Improvised Weapon,Male,Other / Mixed Race,Tensed,Midtown Phillips,Sound of Shots Fired ,DISWEA
479,Bodily Force,Male,White,Fled on Foot,Marcy Holmes,Loud Party ,POSDPA
480,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Person with a Gun ,DAMPRP
481,Chemical Irritant,Male,Black,Verbal Non-Compliance,Folwell,Suspicious Vehicle ,DWI
482,Bodily Force,Male,Black,Tensed,Downtown West,Person with a Gun ,PFARM
483,Bodily Force,Male,White,Fled on Foot,Lowry Hill East,Customer Trouble ,FLEEFT
484,Bodily Force,Male,Other / Mixed Race,Verbal Non-Compliance,Corcoran,Fight ,DISCON
485,Bodily Force,Male,White,Fled on Foot,Downtown West,Suspicious Person ,PUBURN
486,Bodily Force,Male,Black,Tensed,Hawthorne,Traffic Law Enforcement ,OBSTRU
487,Taser,Male,White,Commission of Crime,Downtown West,Suspicious Person ,DISCON
488,Bodily Force,Male,Black,Commission of Crime,Jordan,Traffic Law Enforcement ,OBSTRU
489,Taser,Male,Black,Fled on Foot,Downtown West,Assault Report Only ,ASLT5
490,Chemical Irritant,Male,Black,Fled on Foot,Bryant,Traffic Law Enforcement ,FLEEFT
491,Taser,Male,Black,Fled on Foot,Ventura Village,Emotionally Disturb Person ,CIC
492,Chemical Irritant,Male,White,Unspecified,Downtown West,Fight ,DISCON
493,Bodily Force,Male,Black,Fled on Foot,Bottineau,Unknown Trouble ,DASTR
494,Bodily Force,Male,White,Unspecified,Northeast Park,Suspicious Person ,DAMPRP
495,Taser,Female,Black,Tensed,Cleveland,Domestic Abuse-In Progress ,OBSTRU
496,Bodily Force,Male,Black,Verbal Non-Compliance,Near - North,Sound of Shots Fired ,NARC
497,Bodily Force,Female,Native American,Fled on Foot,Lyndale,Suspicious Person ,OBSTRU
498,Bodily Force,Male,Black,Tensed,Ventura Village,Domestic ,DASLT5
499,Bodily Force,Male,Unknown,Fled in Vehicle,Willard - Hay,Suspicious Vehicle ,FLEE
500,Bodily Force,Male,Black,Commission of Crime,Willard - Hay,ShotSpotter Activation ,SQUADA
501,Bodily Force,Male,Black,Commission of Crime,Cleveland,Traffic Law Enforcement ,NARC
502,Improvised Weapon,Male,Black,Fled in Vehicle,Bryant,Traffic Law Enforcement ,FLEE
503,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,FLEE
504,Bodily Force,Male,Black,Tensed,Shingle Creek,Slumper ,OBSTRU
505,Taser,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE
506,Bodily Force,Male,Other / Mixed Race,Tensed,St. Anthony East,Burglary Dwlng In Progress ,FORCE
507,Bodily Force,Male,Native American,Assaulted Officer,Harrison,Domestic Abuse-In Progress ,ASLT4
508,Bodily Force,Male,Black,Commission of Crime,Loring Park,High Risk Warrant Entry ,NARC
509,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,DISCON
510,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Disturbance ,ROBPER
511,Bodily Force,Male,Black,Fled on Foot,Jordan,ShotSpotter Activation ,NARC
512,Bodily Force,Male,Asian,Assaulted Officer,Downtown West,Fight ,ASLT4
514,Bodily Force,Male,Black,Tensed,Phillips West,Assault in Progress ,ASLT5
515,Bodily Force,Male,Black,Verbal Non-Compliance,Phillips West,Person with a Gun ,FALSNM
516,Bodily Force,Female,Black,Unspecified,Sheridan,Assault in Progress ,ASLT5
518,Taser,Male,White,Fled on Foot,Harrison,Theft ,BURGB
519,Taser,Male,Black,Assaulted Officer,Downtown West,Disturbance ,ASLT4
520,Bodily Force,Male,Black,Tensed,Downtown East,Assault in Progress ,ASLT3
521,Bodily Force,Male,Native American,Tensed,Cedar Riverside,Suspicious Person ,TRSPAS
522,Taser,Male,White,Commission of Crime,West Calhoun,Burglary Biz - In Progress ,BURGB
523,Police K9 Bite,Male,Black,Fled on Foot,Willard - Hay,Burglary Dwlng In Progress ,BURGD
524,Bodily Force,Male,White,Tensed,Lowry Hill East,On Site ,DISCON
525,Police K9 Bite,Male,Black,Fled on Foot,Folwell,Traffic Law Enforcement ,FLEE
526,Bodily Force,Male,White,Verbal Non-Compliance,Morris Park,Domestic ,OBSTRU
527,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,ASLT4
528,Bodily Force,Male,Black,Tensed,Near - North,Unknown Trouble ,DASTR
529,Bodily Force,Male,White,Fled on Foot,Hawthorne,Traffic Law Enforcement ,OBSTRU
530,Bodily Force,Male,White,Tensed,Downtown West,Fight ,ASLT2
531,Bodily Force,Male,Black,Fled on Foot,Downtown West,Code 3 ,ASLT5
532,Bodily Force,Female,White,Tensed,Bottineau,Unwanted Person ,FORCE
533,Taser,Female,Native American,Tensed,Ventura Village,Domestic Abuse-In Progress ,DASLT5
534,Taser,Male,Black,Tensed,Cleveland,Domestic Abuse-In Progress ,DASLT5
535,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Fight ,ASLT4
536,Bodily Force,Male,Black,Tensed,Folwell,Traffic Law Enforcement ,OBSTRU
537,Bodily Force,Male,White,Tensed,Nicollet Island - East Bank,Disturbance ,POSDPA
538,Taser,Male,Native American,Tensed,Jordan,Domestic Abuse-In Progress ,DASLT5
539,Bodily Force,Male,Black,Fled on Foot,Audubon Park,Suspicious Person ,WEAP
540,Bodily Force,Male,White,Verbal Non-Compliance,Folwell,Sound of Shots Fired ,DISWEA
541,Taser,Male,Black,Tensed,Longfellow,Assist an Officer ,ASLT4
542,Bodily Force,Male,Black,Fled on Foot,Whittier,Suspicious Person ,NARC
543,Chemical Irritant,Male,Black,Commission of Crime,Cedar Riverside,Fight ,FORCE
544,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Person ,RECVEH
545,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON
546,Bodily Force,Male,Black,Fled on Foot,St. Anthony East,Suspicious Vehicle ,FLEEFT
547,Bodily Force,Male,Asian,Commission of Crime,Downtown West,Fight ,ASLT5
548,Taser,Male,White,Commission of Crime,St. Anthony West,Person with a Weapon ,ASLT2
549,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Disturbance ,DISCON
550,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Person ,FLEEFT
551,Bodily Force,Male,White,Verbal Non-Compliance,Folwell,Sound of Shots Fired ,DISWEA
552,Bodily Force,Male,Black,Tensed,Central,Suspicious Person ,DISCON
553,Taser,Male,White,Commission of Crime,Downtown East,Disturbance ,DISCON
554,Taser,Male,Black,Unspecified,Central,Person with a Gun ,BURGD
555,Bodily Force,Male,Unknown,Fled in Vehicle,Willard - Hay,Suspicious Vehicle ,FLEE
556,Bodily Force,Male,Black,Tensed,Downtown West,Disturbance ,DISCON
557,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,ASLT5
558,Bodily Force,Male,Black,Verbal Non-Compliance,Folwell,Down Outside-One ,CSCREG
559,Chemical Irritant,Female,White,Tensed,Downtown West,Assault in Progress ,DISCON
560,Bodily Force,Male,Black,Tensed,Harrison,Domestic Abuse-In Progress ,BURGD
561,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,DISCON
562,Taser,Male,Black,Assaulted Officer,Downtown West,Fight ,ASLT4
563,Taser,Male,Black,Commission of Crime,North Loop,Fight ,DISCON
564,Chemical Irritant,Male,Asian,Unspecified,Downtown West,Fight ,ASLT5
565,Bodily Force,Male,Black,Verbal Non-Compliance,Harrison,Disturbance ,OBSTRU
