,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense
228,Taser,Male,Black,Fled in Vehicle,Ventura Village,Suspicious Vehicle ,FLEE
229,Bodily Force,Female,Native American,Assaulted Officer,Downtown West,Suspicious Person ,WT
230,Bodily Force,Male,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU
231,Bodily Force,Male,Native American,Tensed,Hawthorne,Domestic Abuse-In Progress ,OBSTRU
232,Chemical Irritant,Male,White,Tensed,Holland,Traffic Law Enforcement ,DWIREF
233,Bodily Force,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE
234,Bodily Force,Male,Black,Commission of Crime,Loring Park,Fight ,DISCON
235,Taser,Male,White,Commission of Crime,North Loop,Disturbance ,OBSTRU
236,Taser,Male,White,Commission of Crime,West Calhoun,Domestic Abuse-In Progress ,DASLT5
237,Taser,Male,Black,Commission of Crime,Folwell,Fight ,NARC
238,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU
239,Bodily Force,Male,Black,Fled on Foot,St. Anthony East,Suspicious Vehicle ,FLEEFT
240,Bodily Force,Male,Black,Fled in Vehicle,Folwell,Suspicious Vehicle ,FLEE
241,Chemical Irritant,Male,Black,Fled on Foot,Longfellow,Assist an Officer ,ASLT4
242,Bodily Force,Male,Black,Unspecified,Bottineau,Miscellaneous ,DISCON
243,Bodily Force,Male,Black,Commission of Crime,Elliot Park,Suspicious Person ,NARC
244,Bodily Force,Male,Black,Tensed,Cedar Riverside,Disturbance ,DISCON
245,Bodily Force,Male,Black,Unspecified,Sheridan,Unknown Trouble ,DASTR
246,Bodily Force,Male,White,Tensed,Windom Park,Domestic Abuse-In Progress ,VDNCO
247,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,FOBEY
248,Improvised Weapon,Male,Black,Assaulted Officer,Willard - Hay,Officer Needs Help ,FLEE
249,Bodily Force,Male,White,Commission of Crime,East Phillips,Suspicious Person ,OBSTRU
250,Bodily Force,Male,White,Commission of Crime,Downtown West,Code 3 ,MISC
251,Bodily Force,Male,Asian,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL
252,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE
253,Bodily Force,Male,Black,Verbal Non-Compliance,Jordan,Person with a Weapon ,OBSTRU
254,Taser,Male,Native American,Fled on Foot,Midtown Phillips,Suspicious Person ,AOA
255,Chemical Irritant,Female,Black,Assaulted Officer,Willard - Hay,Suspicious Vehicle ,OBSTRU
256,Bodily Force,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE
257,Bodily Force,Male,Asian,Fled on Foot,Folwell,Chase on Foot ,OBSTRU
258,Bodily Force,Male,Black,Fled in Vehicle,Downtown West,Traffic Law Enforcement ,FLEE
259,Bodily Force,Male,Black,Tensed,Downtown West,Disturbance ,DISCON
260,Taser,Male,Black,Tensed,Jordan,Traffic Law Enforcement ,NARC
261,Bodily Force,Male,Black,Tensed,Cleveland,Domestic Abuse-In Progress ,DASLT5
262,Bodily Force,Male,White,Verbal Non-Compliance,Morris Park,Domestic ,OBSTRU
263,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,DISCON
264,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,ASLT4
265,Taser,Female,White,Verbal Non-Compliance,Midtown Phillips,Miscellaneous ,AOA
266,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,NARC
267,Bodily Force,Male,Black,Commission of Crime,Hawthorne,Suspicious Person ,NARC
268,Bodily Force,Male,Native American,Tensed,Jordan,Domestic Abuse-In Progress ,DASLT5
269,Bodily Force,Male,White,Fled on Foot,Lowry Hill East,Damage Property-In Progress,OBSTRU
270,Taser,Male,Black,Tensed,Phillips West,Suspicious Vehicle ,NARC
271,Bodily Force,Male,White,Tensed,Waite Park,Damage Property-In Progress,OBSTRU
272,Chemical Irritant,Female,Black,Unspecified,Downtown West,Fight ,DISCON
273,Bodily Force,Male,White,Assaulted Officer,Cedar Riverside,Emotionally Disturb Person ,ASLT4
274,Taser,Female,White,Tensed,Bottineau,Unwanted Person ,FORCE
275,Bodily Force,Male,Black,Tensed,Cleveland,Domestic Abuse-In Progress ,DASLT5
276,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Fight ,ASLT4
277,Bodily Force,Male,Black,Commission of Crime,North Loop,Fight ,DISCON
278,Taser,Male,Black,Fled on Foot,Holland,Suspicious Vehicle ,FLEEFT
279,Bodily Force,Male,Black,Tensed,Webber - Camden,Suspicious Person ,OBSTRU
280,Bodily Force,Female,Native American,Fled in Vehicle,Central,Suspicious Vehicle ,FLEE
281,Bodily Force,Male,Black,Verbal Non-Compliance,Willard - Hay,Suspicious Vehicle ,MJINMV
282,Bodily Force,Male,White,Tensed,Waite Park,Damage Property-In Progress,OBSTRU
283,Bodily Force,Male,White,Assaulted Officer,Marcy Holmes,Fight ,OBSTRU
284,Police K9 Bite,Male,Black,Fled on Foot,Willard - Hay,Burglary Dwlng In Progress ,BURGD
285,Bodily Force,Male,Black,Tensed,Victory,Unknown Trouble ,OBSTRU
286,Police K9 Bite,Male,Native American,Fled on Foot,Powderhorn Park,Robbery of Person ,ROBPAG
287,Bodily Force,Male,White,Assaulted Officer,Marcy Holmes,Fight ,OBSTRU
288,Bodily Force,Male,Unknown,Fled in Vehicle,Willard - Hay,Suspicious Vehicle ,FLEE
289,Taser,Male,Native American,Verbal Non-Compliance,Midtown Phillips,Person with a Weapon ,CIC
290,Bodily Force,Male,Other / Mixed Race,Tensed,Whittier,Disturbance ,WT
291,Bodily Force,Male,Native American,Commission of Crime,Loring Park,Suspicious Person ,IPROST
292,Bodily Force,Female,Native American,Tensed,Midtown Phillips,Traffic Law Enforcement ,OBSTRU
293,Bodily Force,Male,White,Verbal Non-Compliance,Bancroft,Suspicious Person ,FLEEFT
294,Taser,Male,Black,Fled on Foot,Central,Suspicious Person ,OBSTRU
295,Bodily Force,Male,Black,Fled in Vehicle,Jordan,Suspicious Person ,FLEE
296,Bodily Force,Male,Black,Tensed,Loring Park,Theft ,OBSTRU
297,Bodily Force,Male,White,Tensed,Jordan,Traffic Law Enforcement ,OBSTRU
298,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU
299,Bodily Force,Male,Black,Unspecified,Willard - Hay,Suspicious Person ,OBSTRU
300,Bodily Force,Male,Black,Verbal Non-Compliance,Lynnhurst,Customer Trouble ,OBSTRU
301,Bodily Force,Female,White,Verbal Non-Compliance,Harrison,Disturbance ,OBSTRU
302,Chemical Irritant,Male,Black,Fled on Foot,Downtown West,Assault Report Only ,ASLT5
303,Bodily Force,Male,Black,Fled on Foot,Near - North,Suspicious Person ,FLEEFT
304,Police K9 Bite,Male,White,Commission of Crime,Loring Park,Burglary Dwlng In Progress ,BURGD
305,Bodily Force,Male,White,Tensed,Waite Park,Damage Property-In Progress,OBSTRU
306,Bodily Force,Male,Unknown,Fled in Vehicle,Willard - Hay,Suspicious Vehicle ,FLEE
