,ForceType,Sex,Race,TypeOfResistance,Problem_Group,CenterLongitude,CenterLatitude
209,Bodily Force,Female,White,tensed,Suspicious & Disorder,-93.245456,44.939532
210,Bodily Force,Male,Black,tensed,Domestic,-93.290726,45.013029
211,Less Lethal Weapons,Male,Black,commission of crime,Violent,-93.280523,44.948347
212,Bodily Force,Male,White,other/unspecified,Suspicious & Disorder,-93.296905,44.925909
213,Bodily Force,Male,White,fled,Property & Vehicle,-93.265782,44.943185
214,Less Lethal Weapons,Male,Black,assaulting police officer or animal,Domestic,-93.283383,45.004244
215,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.266112,44.974295
216,Chemical Irritant,Female,White,commission of crime,Domestic,-93.293832,44.948361
217,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.271954,44.982469
218,Bodily Force,Female,Black,other/unspecified,Domestic,-93.25732,45.011083
219,Less Lethal Weapons,Male,Black,tensed,Violent,-93.258074,44.986713
220,Bodily Force,Male,White,fled,Property & Vehicle,-93.304503,44.984396
221,Bodily Force,Female,White,tensed,Domestic,-93.290539,44.961813
222,Bodily Force,Male,Black,fled,Domestic,-93.318776,45.013408
223,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.273109,44.979187
224,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.269582,44.962688
225,Bodily Force,Male,White,fled,Property & Vehicle,-93.252466,45.007207
226,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.251092,44.961813
227,Bodily Force,Female,Native American,assaulting police officer or animal,Suspicious & Disorder,-93.269109,44.976224
228,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.266112,44.974295
229,Bodily Force,Male,Native American,tensed,Domestic,-93.283381,45.005359
230,Chemical Irritant,Male,White,tensed,Property & Vehicle,-93.257329,45.014978
231,Bodily Force,Male,White,fled,Property & Vehicle,-93.304503,44.984396
232,Bodily Force,Male,Black,commission of crime,Violent,-93.280839,44.96706
233,Less Lethal Weapons,Male,White,commission of crime,Suspicious & Disorder,-93.278399,44.983815
234,Less Lethal Weapons,Male,White,commission of crime,Domestic,-93.325057,44.945994
235,Less Lethal Weapons,Male,Black,commission of crime,Violent,-93.296222,45.020367
236,Bodily Force,Male,Black,commission of crime,Violent,-93.271963,44.981655
237,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.254345,44.996891
238,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.303181,45.014115
239,Chemical Irritant,Male,Black,fled,Welfare & Emergency,-93.234724,44.951081
240,Bodily Force,Male,Black,other/unspecified,Welfare & Emergency,-93.271699,45.008036
241,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.262552,44.966723
242,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.247259,44.967175
243,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.270074,45.001467
244,Bodily Force,Male,White,tensed,Domestic,-93.237811,45.007787
245,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.271963,44.981655
246,Less Lethal Weapons,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.317204,44.988613
247,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.24702,44.959744
248,Bodily Force,Male,White,commission of crime,Welfare & Emergency,-93.273141,44.980808
249,Bodily Force,Male,other,fled,Property & Vehicle,-93.29104,44.98883
250,Bodily Force,Male,Black,fled,Property & Vehicle,-93.293351,44.999153
251,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.294958,45.011326
252,Less Lethal Weapons,Male,Native American,fled,Suspicious & Disorder,-93.256919,44.951946
253,Chemical Irritant,Female,Black,assaulting police officer or animal,Suspicious & Disorder,-93.311588,44.986105
254,Bodily Force,Male,White,fled,Property & Vehicle,-93.304503,44.984396
