,ForceType,Sex,Race,TypeOfResistance,Problem_Group,CenterLongitude,CenterLatitude
28717,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.262036,44.949366
28718,Bodily Force,Male,Black,tensed,Domestic,-93.288279,44.901196
28719,Bodily Force,Male,Black,fled,Violent,-93.307583,45.007822
28720,Chemical Irritant,Female,White,commission of crime,Welfare & Emergency,-93.273116,44.981648
28721,Bodily Force,Male,Black,fled,Violent,-93.280023,44.976463
28722,Less Lethal Weapons,Male,Black,fled,Violent,-93.273116,44.981648
28724,Bodily Force,Male,other,fled,Violent,-93.24543,44.928727
28725,Less Lethal Weapons,Male,Black,commission of crime,Domestic,-93.314624,44.992446
28726,Bodily Force,Female,White,commission of crime,Violent,-93.273116,44.981648
28727,Less Lethal Weapons,Male,Black,commission of crime,Violent,-93.24734,45.015868
28728,Bodily Force,Male,White,tensed,Domestic,-93.307308,45.005124
28729,Guns,Male,Black,fled,Suspicious & Disorder,-93.231242,44.963987
28730,Bodily Force,Male,White,tensed,Domestic,-93.249078,44.985792
28731,Bodily Force,Female,Black,tensed,Welfare & Emergency,-93.301983,44.980867
28732,Bodily Force,Female,Black,tensed,Suspicious & Disorder,-93.287989,44.999685
28733,Bodily Force,Male,Black,tensed,Violent,-93.297047,45.030557
28734,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.298279,44.948811
28735,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.282185,44.948355
28736,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.306309,45.00601
28737,Bodily Force,Male,White,commission of crime,Welfare & Emergency,-93.297066,45.032438
28738,Bodily Force,Male,Black,verbal non-compliance,Welfare & Emergency,-93.3032,44.993613
28739,Bodily Force,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.311433,44.991519
28740,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.298279,44.948811
28741,Chemical Irritant,Female,White,commission of crime,Suspicious & Disorder,-93.273116,44.981648
28742,Bodily Force,Male,Black,tensed,Violent,-93.270571,44.980125
28743,Chemical Irritant,Male,White,commission of crime,Suspicious & Disorder,-93.274284,44.979986
28744,Bodily Force,Male,Native American,tensed,Suspicious & Disorder,-93.245609,44.958597
28745,Bodily Force,Female,Black,other/unspecified,Violent,-93.297477,45.018579
28746,Less Lethal Weapons,Female,Black,assaulting police officer or animal,Domestic,-93.296838,45.008662
28747,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.272499,44.979626
28748,Bodily Force,Male,other,assaulting police officer or animal,Violent,-93.211546,45.001814
28749,Chemical Irritant,Female,White,commission of crime,Suspicious & Disorder,-93.274284,44.979986
28750,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.250593,44.948368
28751,Bodily Force,Female,Black,verbal non-compliance,Violent,-93.278819,44.978407
28752,Less Lethal Weapons,Male,Black,tensed,Domestic,-93.303153,45.005551
28753,Bodily Force,Male,Black,fled,Welfare & Emergency,-93.287217,45.010735
28754,Bodily Force,Male,White,assaulting police officer or animal,Violent,-93.281322,44.952844
28755,Less Lethal Weapons,Male,Black,assaulting police officer or animal,Violent,-93.291816,44.999148
28756,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.23678,44.981536
28757,Bodily Force,Male,Black,commission of crime,Violent,-93.295726,44.949646
28758,Bodily Force,Female,Black,verbal non-compliance,Suspicious & Disorder,-93.259408,44.957335
28759,Bodily Force,Female,Black,commission of crime,Suspicious & Disorder,-93.277025,44.978019
28760,Bodily Force,Female,Black,tensed,Domestic,-93.309824,45.034418
28761,Bodily Force,Male,White,verbal non-compliance,Suspicious & Disorder,-93.306603,45.036064
28762,Bodily Force,Female,Black,verbal non-compliance,Domestic,-93.265698,44.937767
28763,Bodily Force,Male,Native American,commission of crime,Violent,-93.268909,44.964238
28764,Less Lethal Weapons,Male,other,verbal non-compliance,Welfare & Emergency,-93.294312,45.008648
28765,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.225106,44.898115
28766,Bodily Force,Female,Black,assaulting police officer or animal,Welfare & Emergency,-93.271489,44.958263
28767,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.30669,45.004098
28768,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.297004,44.948812
28769,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.276738,44.971539
28770,Less Lethal Weapons,Male,Black,commission of crime,Suspicious & Disorder,-93.222948,44.899935
28772,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.274247,44.981638
28773,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.293351,44.999153
28774,Chemical Irritant,Female,Black,commission of crime,Violent,-93.30443,44.999439
28775,Bodily Force,Female,Black,commission of crime,Suspicious & Disorder,-93.287074,44.997373
28776,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.271883,44.980065
28777,Chemical Irritant,Male,Black,commission of crime,Violent,-93.297166,44.999712
28778,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.224185,44.898706
28779,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.277271,44.93954
28780,Less Lethal Weapons,Male,Black,verbal non-compliance,Violent,-93.282185,44.948355
28781,Bodily Force,Male,Black,verbal non-compliance,Welfare & Emergency,-93.296218,45.011341
28782,Bodily Force,Male,Black,other/unspecified,Violent,-93.26748,44.971585
28783,Bodily Force,Male,Black,assaulting police officer or animal,Property & Vehicle,-93.236855,44.94837
28784,Less Lethal Weapons,Female,Native American,assaulting police officer or animal,Welfare & Emergency,-93.240959,44.992392
28785,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.309488,45.001496
28786,Chemical Irritant,Male,White,verbal non-compliance,Welfare & Emergency,-93.275347,44.977582
28787,Chemical Irritant,Female,Black,verbal non-compliance,Violent,-93.307308,45.005124
28788,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.271883,44.980065
28789,Bodily Force,Male,White,commission of crime,Violent,-93.266298,44.99469
28790,Bodily Force,Male,Black,commission of crime,Violent,-93.227468,44.939556
28791,Bodily Force,Male,Black,fled,Violent,-93.271954,44.982469
28792,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.276634,44.940446
28793,Less Lethal Weapons,Male,Black,tensed,Welfare & Emergency,-93.323352,44.917924
28794,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.261393,44.947452
28795,Bodily Force,Male,Black,fled,Domestic,-93.296161,44.984474
28796,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.233138,44.951067
28797,Bodily Force,Male,other,commission of crime,Suspicious & Disorder,-93.248318,44.898352
28798,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.268587,44.981232
28799,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.271861,44.986572
28800,Bodily Force,Male,Native American,assaulting police officer or animal,Violent,-93.249242,44.957336
28801,Less Lethal Weapons,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.237189,44.991497
28802,Bodily Force,Male,Black,fled,Violent,-93.296848,45.012251
28803,Bodily Force,Male,Black,tensed,Violent,-93.300044,45.02402
28804,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.313338,45.014155
28805,Bodily Force,Male,Black,tensed,Domestic,-93.298114,45.014076
28806,Bodily Force,Male,Black,fled,Property & Vehicle,-93.222288,44.950165
28807,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.272499,44.979626
28808,Bodily Force,Male,White,fled,Property & Vehicle,-93.218959,44.924233
28809,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.316847,45.051245
28810,Bodily Force,Male,Black,fled,Property & Vehicle,-93.317195,44.990864
28811,Bodily Force,Male,White,tensed,Violent,-93.274083,44.953015
28812,Chemical Irritant,Female,White,commission of crime,Violent,-93.276431,44.976808
28813,Chemical Irritant,Male,Black,tensed,Suspicious & Disorder,-93.273141,44.980808
28814,Bodily Force,Female,other,assaulting police officer or animal,Welfare & Emergency,-93.238931,44.945651
28815,Bodily Force,Male,White,other/unspecified,Violent,-93.24249,44.96774
28816,Bodily Force,Male,Native American,tensed,Suspicious & Disorder,-93.315902,44.998369
28817,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.26584,44.97352
28818,Bodily Force,Male,Black,fled,Property & Vehicle,-93.244852,44.957217
28819,Bodily Force,Female,Black,commission of crime,Violent,-93.274284,44.979986
28820,Bodily Force,Male,Black,commission of crime,Violent,-93.2442,44.964571
28821,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.30894,45.022276
28822,Less Lethal Weapons,Male,Black,commission of crime,Property & Vehicle,-93.295006,45.023981
28823,Chemical Irritant,Male,White,commission of crime,Suspicious & Disorder,-93.271963,44.981655
28824,Chemical Irritant,Male,White,commission of crime,Violent,-93.273141,44.980808
28825,Bodily Force,Female,other,verbal non-compliance,Violent,-93.247356,44.955998
28826,Chemical Irritant,Male,White,other/unspecified,Welfare & Emergency,-93.236171,44.980009
28827,Bodily Force,Male,White,tensed,Violent,-93.26788,44.984587
28828,Bodily Force,Male,Black,tensed,Domestic,-93.299574,45.032301
28829,Chemical Irritant,Male,other,tensed,Violent,-93.286823,44.999135
28830,Guns,Male,Native American,fled,Suspicious & Disorder,-93.289519,45.004247
28831,Bodily Force,Male,Black,verbal non-compliance,Welfare & Emergency,-93.285715,45.014904
28832,Less Lethal Weapons,Male,Black,other/unspecified,Property & Vehicle,-93.294078,44.991587
28833,Bodily Force,Female,Black,tensed,Property & Vehicle,-93.273422,44.975433
28834,Bodily Force,Male,White,commission of crime,Welfare & Emergency,-93.275361,44.922367
28835,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.244852,44.957217
28836,Less Lethal Weapons,Male,Black,assaulting police officer or animal,Property & Vehicle,-93.294957,45.013133
28837,Chemical Irritant,Female,Black,commission of crime,Suspicious & Disorder,-93.273116,44.981648
28838,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.215791,44.987957
28839,Bodily Force,Male,Black,commission of crime,Violent,-93.290288,45.00024
28840,Chemical Irritant,Male,Black,commission of crime,Violent,-93.27196,44.980833
28841,Chemical Irritant,Male,Black,commission of crime,Violent,-93.27196,44.980833
28842,Bodily Force,Male,Black,fled,Welfare & Emergency,-93.253141,44.948367
28843,Chemical Irritant,Male,Black,tensed,Suspicious & Disorder,-93.27196,44.980833
28844,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.298108,45.009574
28845,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.274083,44.953015
28846,Bodily Force,Male,White,other/unspecified,Violent,-93.287608,44.932258
28847,Guns,Male,Black,commission of crime,Welfare & Emergency,-93.253141,44.948367
28849,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.277436,44.976087
28850,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.308208,45.005572
28851,Bodily Force,Male,other,fled,Suspicious & Disorder,-93.269628,44.944978
28852,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.204183,44.906432
28853,Bodily Force,Female,Black,assaulting police officer or animal,Suspicious & Disorder,-93.269013,44.982137
28854,Chemical Irritant,Male,Black,commission of crime,Violent,-93.277814,44.968853
28855,Less Lethal Weapons,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.274885,44.97606
28856,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.236855,44.94837
28857,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.247407,44.949221
28858,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.274999,44.969762
28859,Bodily Force,Male,White,verbal non-compliance,Suspicious & Disorder,-93.294876,44.999158
28860,Bodily Force,Male,Black,fled,Property & Vehicle,-93.290564,45.02123
28861,Chemical Irritant,Female,other,commission of crime,Violent,-93.271883,44.980065
28862,Less Lethal Weapons,Male,White,commission of crime,Welfare & Emergency,-93.305088,44.991503
28863,Bodily Force,Male,Black,commission of crime,Domestic,-93.300777,44.979043
28864,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.278106,44.894933
28865,Bodily Force,Male,Black,tensed,Violent,-93.271954,44.982469
28866,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.27023,44.979295
28867,Less Lethal Weapons,Male,Black,commission of crime,Suspicious & Disorder,-93.27196,44.980833
28868,Bodily Force,Male,Black,fled,Violent,-93.278197,44.976944
28869,Bodily Force,Male,White,other/unspecified,Welfare & Emergency,-93.246096,44.942133
28870,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.23678,44.981536
28871,Bodily Force,Female,Native American,assaulting police officer or animal,Suspicious & Disorder,-93.255682,44.948364
28872,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.272499,44.979626
28873,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.281842,44.999111
28874,Bodily Force,Male,Black,verbal non-compliance,Domestic,-93.303832,44.991502
28875,Guns,Male,Black,verbal non-compliance,Violent,-93.262672,44.94884
28876,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.299432,44.98338
28877,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.274885,44.97606
28878,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.266381,44.96395
28879,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.277816,44.967891
28880,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.305114,44.987894
28881,Bodily Force,Male,Native American,fled,Property & Vehicle,-93.267105,44.946667
28882,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.276431,44.976808
28883,Bodily Force,Male,Black,tensed,Domestic,-93.283383,45.004244
28884,Less Lethal Weapons,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.287368,44.9627
28885,Chemical Irritant,Female,Black,verbal non-compliance,Violent,-93.247134,44.971325
28886,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.27533,44.940681
28887,Bodily Force,Male,Black,tensed,Domestic,-93.268075,44.969776
28888,Chemical Irritant,Male,White,commission of crime,Suspicious & Disorder,-93.273166,44.979968
28889,Bodily Force,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.293064,45.011787
28890,Bodily Force,Male,Black,assaulting police officer or animal,Violent,-93.303194,44.984623
28891,Chemical Irritant,Male,White,commission of crime,Suspicious & Disorder,-93.266112,44.974295
28892,Bodily Force,Female,Black,tensed,Domestic,-93.293065,45.012688
28893,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.271797,44.977367
28894,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.323352,44.917924
28895,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.27996,44.974295
28896,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.289345,45.026657
28897,Bodily Force,Male,Black,fled,Property & Vehicle,-93.29248,45.023963
28898,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.283675,44.984322
28899,Chemical Irritant,Male,Black,commission of crime,Violent,-93.271883,44.980065
28900,Guns,Male,Black,commission of crime,Suspicious & Disorder,-93.247391,44.943836
28901,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.272499,44.979626
28902,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.235388,44.980982
28903,Bodily Force,Male,Black,tensed,Violent,-93.274284,44.979986
28904,Bodily Force,Male,Black,commission of crime,Domestic,-93.314965,45.043949
28905,Bodily Force,Male,Black,tensed,Violent,-93.277198,44.959194
28906,Bodily Force,Male,Black,fled,Property & Vehicle,-93.299403,44.998072
28907,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.272499,44.979626
28908,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.271883,44.980065
28909,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.312839,45.025906
28910,Bodily Force,Female,other,other/unspecified,Violent,-93.273116,44.981648
28911,Chemical Irritant,Male,Black,commission of crime,Violent,-93.273116,44.981648
28912,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.263938,44.971401
28913,Chemical Irritant,Female,Black,verbal non-compliance,Violent,-93.272499,44.979626
28914,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.262036,44.949366
28915,Bodily Force,Female,Black,tensed,Welfare & Emergency,-93.248004,44.939539
28916,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.298279,44.948811
28917,Bodily Force,Male,Black,tensed,Violent,-93.278819,44.978407
28918,Chemical Irritant,Female,Black,commission of crime,Violent,-93.268395,44.948352
28919,Bodily Force,Male,White,commission of crime,Property & Vehicle,-93.228834,45.003639
28920,Guns,Male,Black,tensed,Welfare & Emergency,-93.266136,44.977551
28921,Bodily Force,Male,other,tensed,Domestic,-93.296912,45.024903
28923,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.273116,44.981648
28924,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.223605,44.950168
28925,Bodily Force,Male,White,tensed,Domestic,-93.23218,45.014358
28926,Bodily Force,Male,other,tensed,Violent,-93.3106,45.048501
28927,Bodily Force,Female,Black,other/unspecified,Welfare & Emergency,-93.309122,45.00445
28928,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.275347,44.977582
28929,Chemical Irritant,Male,Black,commission of crime,Suspicious & Disorder,-93.27196,44.980833
28930,Less Lethal Weapons,Male,Black,other/unspecified,Welfare & Emergency,-93.273107,44.982462
28931,Chemical Irritant,Male,White,verbal non-compliance,Welfare & Emergency,-93.236171,44.980009
28932,Bodily Force,Male,Black,other/unspecified,Property & Vehicle,-93.29248,45.023963
28933,Bodily Force,Male,White,verbal non-compliance,Suspicious & Disorder,-93.283902,44.979874
28934,Guns,Male,Black,fled,Violent,-93.31462,44.996087
28935,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.305683,45.005562
28936,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.21881,44.968758
28937,Bodily Force,Male,Black,verbal non-compliance,Welfare & Emergency,-93.285715,45.014904
28938,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.273422,44.975433
28939,Bodily Force,Male,Black,tensed,Domestic,-93.217792,44.970044
28940,Chemical Irritant,Male,Black,fled,Welfare & Emergency,-93.273116,44.981648
28941,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.303195,44.994685
28942,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.272499,44.979626
28943,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.284138,45.013094
28944,Guns,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.262553,44.965741
28945,Bodily Force,Male,White,tensed,Domestic,-93.316216,45.034425
28946,Chemical Irritant,Male,Black,commission of crime,Violent,-93.26788,44.984587
28947,Bodily Force,Male,White,tensed,Domestic,-93.212679,44.906291
28948,Bodily Force,Male,White,assaulting police officer or animal,Violent,-93.240351,44.996903
28949,Bodily Force,Male,other,other/unspecified,Domestic,-93.294341,45.021259
28950,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.235388,44.980982
28951,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.280459,44.957325
28952,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.262558,44.962257
28953,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.291052,45.005931
28954,Chemical Irritant,Male,Black,commission of crime,Violent,-93.271861,44.986572
28955,Chemical Irritant,Female,Black,other/unspecified,Suspicious & Disorder,-93.305988,45.034413
28956,Bodily Force,Male,White,tensed,Domestic,-93.272759,44.96332
28957,Bodily Force,Female,White,assaulting police officer or animal,Domestic,-93.22725,44.901156
28958,Bodily Force,Male,Black,fled,Violent,-93.315263,44.991541
28959,Bodily Force,Female,Black,tensed,Domestic,-93.20576,44.913727
28960,Bodily Force,Male,Black,tensed,Domestic,-93.294494,45.030545
28961,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.272762,44.938649
28962,Bodily Force,Male,Native American,tensed,Domestic,-93.216979,44.920604
28963,Less Lethal Weapons,Male,Black,tensed,Property & Vehicle,-93.288659,44.959124
28964,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.232119,44.933217
28965,Chemical Irritant,Female,Black,commission of crime,Suspicious & Disorder,-93.271883,44.980065
28966,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.277025,44.978019
28967,Bodily Force,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.296221,45.016752
28968,Chemical Irritant,Male,White,commission of crime,Welfare & Emergency,-93.305088,44.991503
28969,Bodily Force,Male,White,commission of crime,Welfare & Emergency,-93.274284,44.979986
28970,Chemical Irritant,Male,Black,verbal non-compliance,Violent,-93.271954,44.982469
28971,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.27023,44.979295
28972,Less Lethal Weapons,Male,Black,commission of crime,Suspicious & Disorder,-93.27196,44.980833
28973,Bodily Force,Male,other,fled,Property & Vehicle,-93.298196,44.984539
28974,Less Lethal Weapons,Male,Black,other/unspecified,Suspicious & Disorder,-93.274284,44.979986
28975,Bodily Force,Male,Black,other/unspecified,Property & Vehicle,-93.28648,45.013996
28976,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.278093,44.904565
28977,Bodily Force,Male,Black,commission of crime,Violent,-93.27196,44.980833
28978,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.315897,45.005133
28979,Bodily Force,Female,Black,tensed,Domestic,-93.276601,44.952838
28980,Chemical Irritant,Male,Black,other/unspecified,Suspicious & Disorder,-93.297004,44.948812
28981,Bodily Force,Male,White,tensed,Domestic,-93.236233,44.957359
28982,Chemical Irritant,Female,Black,commission of crime,Suspicious & Disorder,-93.27196,44.980833
28983,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.258831,44.95151
28984,Bodily Force,Male,White,other/unspecified,Suspicious & Disorder,-93.25995,45.035094
28985,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.299328,44.999156
28986,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.305114,44.987894
28987,Bodily Force,Male,Black,fled,Property & Vehicle,-93.27276,44.965747
28988,Bodily Force,Male,White,verbal non-compliance,Violent,-93.247368,45.007414
28989,Bodily Force,Male,Black,verbal non-compliance,Welfare & Emergency,-93.266344,44.938672
28990,Bodily Force,Male,Black,other/unspecified,Domestic,-93.261987,44.916105
28991,Less Lethal Weapons,Male,Black,tensed,Domestic,-93.294468,45.028583
28993,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.291816,44.999148
28994,Bodily Force,Unknown,other,commission of crime,Violent,-93.276431,44.976808
28995,Bodily Force,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.293064,45.011787
28996,Chemical Irritant,Male,Black,other/unspecified,Suspicious & Disorder,-93.271954,44.982469
28997,Bodily Force,Female,Black,tensed,Violent,-93.30536,45.004442
28998,Bodily Force,Male,Black,commission of crime,Violent,-93.26037,44.96393
28999,Bodily Force,Male,Black,commission of crime,Violent,-93.274284,44.979986
29000,Bodily Force,Male,Black,commission of crime,Violent,-93.233748,44.985314
29001,Chemical Irritant,Male,Black,tensed,Violent,-93.265106,44.963324
29002,Bodily Force,Male,Black,fled,Property & Vehicle,-93.29248,45.023963
29003,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.29248,45.023963
29005,Less Lethal Weapons,Male,Black,commission of crime,Violent,-93.295604,45.021268
29006,Chemical Irritant,Male,Black,commission of crime,Violent,-93.273116,44.981648
29007,Less Lethal Weapons,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.286438,45.010118
29008,Less Lethal Weapons,Male,Native American,fled,Property & Vehicle,-93.251163,44.956435
29009,Bodily Force,Female,Black,assaulting police officer or animal,Welfare & Emergency,-93.265034,44.977764
29010,Chemical Irritant,Male,White,tensed,Suspicious & Disorder,-93.271963,44.981655
29011,Guns,Male,Black,verbal non-compliance,Property & Vehicle,-93.277025,44.978019
29012,Bodily Force,Male,Native American,commission of crime,Domestic,-93.258831,44.95151
29013,Bodily Force,Male,Native American,tensed,Violent,-93.26258,44.977385
29014,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.275347,44.977582
29015,Bodily Force,Male,Black,assaulting police officer or animal,Violent,-93.273116,44.981648
29016,Bodily Force,Male,Black,fled,Property & Vehicle,-93.273422,44.975433
29017,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.283902,44.979874
29018,Chemical Irritant,Female,Black,verbal non-compliance,Violent,-93.272499,44.979626
29019,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.273141,44.980808
29020,Bodily Force,Female,Black,tensed,Welfare & Emergency,-93.248004,44.939539
29021,Chemical Irritant,Male,Black,commission of crime,Violent,-93.271963,44.981655
29022,Less Lethal Weapons,Male,White,fled,Suspicious & Disorder,-93.29505,44.955542
29023,Bodily Force,Male,other,assaulting police officer or animal,Welfare & Emergency,-93.269385,44.960712
29024,Chemical Irritant,Male,other,other/unspecified,Suspicious & Disorder,-93.273141,44.980808
29025,Less Lethal Weapons,Male,Black,commission of crime,Violent,-93.27196,44.980833
29026,Bodily Force,Male,other,tensed,Domestic,-93.296912,45.024903
29027,Bodily Force,Female,other,tensed,Violent,-93.300644,45.0177
29028,Bodily Force,Female,White,tensed,Violent,-93.284298,44.947481
29029,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.298274,44.949609
29030,Chemical Irritant,Female,Black,verbal non-compliance,Suspicious & Disorder,-93.276431,44.976808
29031,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.251765,44.919706
29032,Bodily Force,Male,other,tensed,Violent,-93.3106,45.048501
29033,Chemical Irritant,Female,Black,commission of crime,Violent,-93.272499,44.979626
29034,Bodily Force,Male,Black,tensed,Domestic,-93.312037,45.003313
29035,Bodily Force,Female,Black,verbal non-compliance,Welfare & Emergency,-93.277816,44.969381
29036,Less Lethal Weapons,Male,Black,commission of crime,Suspicious & Disorder,-93.273116,44.981648
29037,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.272499,44.979626
29038,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.283902,44.979874
29039,Chemical Irritant,Male,Black,verbal non-compliance,Welfare & Emergency,-93.274773,44.982827
29040,Bodily Force,Female,Black,commission of crime,Welfare & Emergency,-93.258601,44.977723
29041,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.273192,44.97468
29042,Bodily Force,Male,Black,tensed,Domestic,-93.312037,45.003313
29043,Bodily Force,Female,Black,commission of crime,Violent,-93.247313,44.92242
29044,Bodily Force,Male,White,fled,Property & Vehicle,-93.278808,44.948347
29045,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.278819,44.978407
29046,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.289364,44.949203
29047,Chemical Irritant,Male,Black,other/unspecified,Violent,-93.272499,44.979626
29048,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.277864,44.956428
29049,Bodily Force,Male,Native American,commission of crime,Suspicious & Disorder,-93.24172,44.962747
29050,Bodily Force,Male,Native American,verbal non-compliance,Property & Vehicle,-93.244852,44.957217
29051,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.310111,45.03545
29052,Bodily Force,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.228692,44.973099
29053,Bodily Force,Male,other,tensed,Suspicious & Disorder,-93.254971,44.956441
29054,Bodily Force,Male,White,assaulting police officer or animal,Violent,-93.314613,44.94951
29055,Bodily Force,Male,other,fled,Property & Vehicle,-93.298274,44.949609
29056,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.263088,45.000357
29057,Bodily Force,Female,Black,assaulting police officer or animal,Suspicious & Disorder,-93.299256,44.980557
