,ForceType,Sex,Race,TypeOfResistance
229,Bodily Force,Male,Native American,tensed
230,Chemical Irritant,Male,White,tensed
231,Bodily Force,Male,White,fled
232,Bodily Force,Male,Black,commission of crime
233,Less Lethal Weapons,Male,White,commission of crime
234,Less Lethal Weapons,Male,White,commission of crime
235,Less Lethal Weapons,Male,Black,commission of crime
236,Bodily Force,Male,Black,commission of crime
237,Bodily Force,Male,Black,fled
238,Bodily Force,Male,Black,fled
239,Chemical Irritant,Male,Black,fled
240,Bodily Force,Male,Black,other/unspecified
241,Bodily Force,Male,Black,commission of crime
242,Bodily Force,Male,Black,tensed
243,Bodily Force,Male,Black,other/unspecified
244,Bodily Force,Male,White,tensed
245,Bodily Force,Male,White,tensed
246,Less Lethal Weapons,Male,Black,assaulting police officer or animal
247,Bodily Force,Male,White,commission of crime
248,Bodily Force,Male,White,commission of crime
249,Bodily Force,Male,other,fled
250,Bodily Force,Male,Black,fled
251,Bodily Force,Male,Black,verbal non-compliance
252,Less Lethal Weapons,Male,Native American,fled
253,Chemical Irritant,Female,Black,assaulting police officer or animal
254,Bodily Force,Male,White,fled
255,Bodily Force,Male,other,fled
256,Bodily Force,Male,Black,fled
257,Bodily Force,Male,Black,tensed
258,Less Lethal Weapons,Male,Black,tensed
259,Bodily Force,Male,Black,tensed
260,Bodily Force,Male,White,verbal non-compliance
261,Bodily Force,Male,Black,tensed
262,Bodily Force,Male,Black,commission of crime
263,Less Lethal Weapons,Female,White,verbal non-compliance
264,Bodily Force,Male,Black,commission of crime
265,Bodily Force,Male,Black,commission of crime
266,Bodily Force,Male,Native American,tensed
267,Bodily Force,Male,White,fled
268,Less Lethal Weapons,Male,Black,tensed
269,Bodily Force,Male,White,tensed
270,Chemical Irritant,Female,Black,other/unspecified
271,Bodily Force,Male,White,assaulting police officer or animal
272,Less Lethal Weapons,Female,White,tensed
273,Bodily Force,Male,Black,tensed
274,Bodily Force,Male,Black,assaulting police officer or animal
275,Bodily Force,Male,Black,commission of crime
276,Less Lethal Weapons,Male,Black,fled
277,Bodily Force,Male,Black,tensed
278,Bodily Force,Female,Native American,fled
279,Bodily Force,Male,Black,verbal non-compliance
280,Bodily Force,Male,White,tensed
281,Bodily Force,Male,White,assaulting police officer or animal
282,Less Lethal Weapons,Male,Black,fled
283,Bodily Force,Male,Black,tensed
284,Less Lethal Weapons,Male,Native American,fled
285,Bodily Force,Male,White,assaulting police officer or animal
286,Bodily Force,Male,other,fled
287,Less Lethal Weapons,Male,Native American,verbal non-compliance
288,Bodily Force,Male,other,tensed
289,Bodily Force,Male,Native American,commission of crime
290,Bodily Force,Female,Native American,tensed
291,Bodily Force,Male,White,verbal non-compliance
292,Less Lethal Weapons,Male,Black,fled
293,Bodily Force,Male,Black,fled
294,Bodily Force,Male,Black,tensed
295,Bodily Force,Male,White,tensed
296,Bodily Force,Male,Black,commission of crime
297,Bodily Force,Male,Black,other/unspecified
298,Bodily Force,Male,Black,verbal non-compliance
299,Bodily Force,Female,White,verbal non-compliance
300,Chemical Irritant,Male,Black,fled
301,Bodily Force,Male,Black,fled
302,Less Lethal Weapons,Male,White,commission of crime
303,Bodily Force,Male,White,tensed
304,Bodily Force,Male,other,fled
305,Bodily Force,Male,White,tensed
306,Chemical Irritant,Male,White,tensed
307,Bodily Force,Male,White,fled
308,Bodily Force,Male,White,commission of crime
309,Bodily Force,Male,Black,tensed
310,Bodily Force,Male,Black,commission of crime
311,Less Lethal Weapons,Male,White,tensed
312,Bodily Force,Male,White,tensed
313,Chemical Irritant,Male,other,verbal non-compliance
314,Bodily Force,Male,Black,verbal non-compliance
315,Bodily Force,Male,other,fled
