,ForceType,Sex,Race,TypeOfResistance
16610,Bodily Force,Male,Black,assaulting police officer or animal
16611,Bodily Force,Male,Black,fled
16612,Less Lethal Weapons,Male,Black,fled
16613,Less Lethal Weapons,Male,White,fled
16615,Less Lethal Weapons,Male,Black,fled
16617,Bodily Force,Male,Native American,other/unspecified
16618,Bodily Force,Male,White,tensed
16619,Bodily Force,Male,Black,tensed
16620,Bodily Force,Male,White,tensed
16621,Bodily Force,Male,White,other/unspecified
16622,Bodily Force,Male,other,commission of crime
16623,Bodily Force,Male,Black,tensed
16624,Bodily Force,Male,Black,tensed
16625,Less Lethal Weapons,Male,Black,assaulting police officer or animal
16626,Chemical Irritant,Male,Black,commission of crime
16627,Bodily Force,Male,Native American,tensed
16628,Bodily Force,Male,Black,fled
16629,Bodily Force,Male,Black,verbal non-compliance
16630,Bodily Force,Male,Black,tensed
16631,Bodily Force,Male,Black,fled
16632,Bodily Force,Male,Black,tensed
16633,Guns,Male,Black,verbal non-compliance
16634,Bodily Force,Male,Black,fled
16635,Bodily Force,Male,other,tensed
16636,Less Lethal Weapons,Male,Black,tensed
16637,Less Lethal Weapons,Male,Black,fled
16638,Bodily Force,Male,Black,verbal non-compliance
16639,Guns,Male,Black,verbal non-compliance
16640,Less Lethal Weapons,Male,Black,fled
16641,Chemical Irritant,Male,Black,commission of crime
16642,Chemical Irritant,Female,other,verbal non-compliance
16643,Chemical Irritant,Male,Black,verbal non-compliance
16644,Less Lethal Weapons,Male,Black,tensed
16645,Bodily Force,Male,White,tensed
16646,Bodily Force,Male,other,tensed
16647,Bodily Force,Male,Black,assaulting police officer or animal
16648,Bodily Force,Male,Black,tensed
16649,Bodily Force,Male,Black,verbal non-compliance
16650,Guns,Male,Black,fled
16651,Bodily Force,Female,Black,tensed
16652,Bodily Force,Male,other,tensed
16653,Bodily Force,Male,White,other/unspecified
16654,Bodily Force,Male,Black,commission of crime
16655,Chemical Irritant,Male,Black,commission of crime
16656,Bodily Force,Male,other,tensed
16657,Bodily Force,Female,Black,tensed
16658,Bodily Force,Female,other,tensed
16659,Bodily Force,Male,Black,fled
16660,Less Lethal Weapons,Male,Black,assaulting police officer or animal
16661,Chemical Irritant,Male,Black,verbal non-compliance
16662,Bodily Force,Male,Black,fled
16663,Bodily Force,Male,other,tensed
16665,Bodily Force,Male,Black,fled
16666,Less Lethal Weapons,Male,Black,fled
16667,Bodily Force,Male,White,fled
16668,Bodily Force,Male,Black,fled
16669,Less Lethal Weapons,Male,other,other/unspecified
16670,Bodily Force,Male,White,tensed
16671,Guns,Male,White,fled
16672,Bodily Force,Male,White,commission of crime
16673,Bodily Force,Male,Black,tensed
16674,Bodily Force,Male,White,assaulting police officer or animal
16675,Chemical Irritant,Male,Black,other/unspecified
16676,Bodily Force,Male,White,verbal non-compliance
16677,Bodily Force,Male,Native American,tensed
16678,Bodily Force,Male,Black,verbal non-compliance
16679,Bodily Force,Male,White,tensed
16680,Chemical Irritant,Male,White,verbal non-compliance
16681,Chemical Irritant,Male,Black,commission of crime
16682,Bodily Force,Male,Black,assaulting police officer or animal
16683,Bodily Force,Male,Black,verbal non-compliance
16684,Bodily Force,Male,White,tensed
16685,Bodily Force,Male,White,tensed
16686,Guns,Male,Black,tensed
16687,Less Lethal Weapons,Male,Black,fled
16688,Bodily Force,Male,White,tensed
16689,Less Lethal Weapons,Male,Black,verbal non-compliance
16690,Bodily Force,Male,Black,other/unspecified
16691,Bodily Force,Male,White,commission of crime
16692,Chemical Irritant,Male,White,other/unspecified
16693,Bodily Force,Male,Black,fled
16694,Bodily Force,Male,Black,assaulting police officer or animal
16695,Bodily Force,Male,Black,tensed
16696,Bodily Force,Male,Black,fled
16697,Chemical Irritant,Male,Black,commission of crime
16698,Bodily Force,Male,Black,other/unspecified
16699,Less Lethal Weapons,Male,Black,verbal non-compliance
16701,Bodily Force,Male,Black,tensed
16702,Bodily Force,Male,White,verbal non-compliance
16703,Bodily Force,Male,White,assaulting police officer or animal
16704,Bodily Force,Male,White,assaulting police officer or animal
16705,Chemical Irritant,Male,Black,other/unspecified
16706,Chemical Irritant,Male,Black,commission of crime
16707,Bodily Force,Male,White,assaulting police officer or animal
16708,Bodily Force,Male,White,commission of crime
16709,Bodily Force,Male,White,fled
16710,Bodily Force,Male,Black,tensed
16711,Bodily Force,Male,White,tensed
16712,Bodily Force,Female,Black,assaulting police officer or animal
16713,Less Lethal Weapons,Male,White,tensed
16714,Chemical Irritant,Male,Black,commission of crime
16715,Bodily Force,Male,White,tensed
16716,Bodily Force,Male,Black,tensed
16717,Bodily Force,Female,Black,tensed
16718,Bodily Force,Male,Black,tensed
16719,Chemical Irritant,Male,Black,commission of crime
16720,Bodily Force,Male,Black,commission of crime
16721,Chemical Irritant,Male,White,commission of crime
16722,Chemical Irritant,Male,Black,tensed
16723,Guns,Male,Black,commission of crime
16724,Bodily Force,Male,Black,fled
16725,Bodily Force,Male,Black,fled
16726,Chemical Irritant,Male,Black,other/unspecified
16727,Bodily Force,Male,Native American,assaulting police officer or animal
16728,Bodily Force,Male,Black,commission of crime
16729,Bodily Force,Male,Black,fled
16730,Less Lethal Weapons,Male,White,assaulting police officer or animal
16731,Bodily Force,Male,White,tensed
16732,Bodily Force,Male,Native American,verbal non-compliance
16733,Less Lethal Weapons,Male,Black,verbal non-compliance
16734,Bodily Force,Male,Native American,assaulting police officer or animal
16735,Guns,Male,Black,fled
16736,Less Lethal Weapons,Male,White,tensed
16737,Bodily Force,Male,Black,assaulting police officer or animal
16738,Guns,Male,Black,verbal non-compliance
16739,Bodily Force,Male,Black,other/unspecified
16740,Less Lethal Weapons,Male,White,fled
16741,Less Lethal Weapons,Male,Black,commission of crime
16742,Bodily Force,Male,Black,tensed
16743,Less Lethal Weapons,Male,Black,other/unspecified
16744,Bodily Force,Male,White,commission of crime
16745,Bodily Force,Male,other,assaulting police officer or animal
16746,Bodily Force,Male,Native American,fled
16747,Bodily Force,Male,Black,tensed
16748,Bodily Force,Male,Black,commission of crime
16749,Bodily Force,Male,Black,commission of crime
16750,Bodily Force,Male,White,verbal non-compliance
16751,Chemical Irritant,Male,Black,verbal non-compliance
16752,Bodily Force,Male,Black,fled
16753,Bodily Force,Male,White,commission of crime
16754,Bodily Force,Male,Black,tensed
16755,Bodily Force,Male,Black,assaulting police officer or animal
16756,Bodily Force,Male,White,other/unspecified
16757,Bodily Force,Female,other,tensed
16758,Less Lethal Weapons,Male,Black,commission of crime
16759,Chemical Irritant,Male,Black,tensed
16760,Bodily Force,Male,White,assaulting police officer or animal
16761,Bodily Force,Male,Black,tensed
16762,Chemical Irritant,Male,Black,commission of crime
16763,Bodily Force,Male,Black,commission of crime
16764,Chemical Irritant,Male,Black,fled
16765,Chemical Irritant,Female,Black,commission of crime
16766,Bodily Force,Male,White,verbal non-compliance
16767,Bodily Force,Male,Black,fled
16768,Bodily Force,Female,Black,commission of crime
16769,Bodily Force,Male,Black,tensed
16770,Bodily Force,Male,other,commission of crime
16771,Bodily Force,Male,Black,fled
16772,Bodily Force,Female,Native American,tensed
16773,Less Lethal Weapons,Male,White,assaulting police officer or animal
16774,Bodily Force,Male,Black,other/unspecified
16775,Less Lethal Weapons,Male,White,fled
16776,Bodily Force,Male,Black,fled
16777,Bodily Force,Male,Black,tensed
16778,Bodily Force,Female,White,assaulting police officer or animal
16779,Bodily Force,Male,other,tensed
16780,Bodily Force,Female,other,assaulting police officer or animal
16781,Bodily Force,Male,White,tensed
16782,Bodily Force,Male,White,tensed
16783,Bodily Force,Male,White,fled
16784,Bodily Force,Male,Black,tensed
16785,Bodily Force,Male,Black,tensed
16786,Bodily Force,Male,Black,tensed
16787,Chemical Irritant,Male,Black,verbal non-compliance
16788,Bodily Force,Male,Black,commission of crime
16789,Bodily Force,Male,White,commission of crime
16790,Bodily Force,Male,White,other/unspecified
16791,Bodily Force,Male,Black,verbal non-compliance
16792,Guns,Male,White,fled
16793,Chemical Irritant,Male,other,commission of crime
16794,Chemical Irritant,Male,Black,tensed
16795,Less Lethal Weapons,Male,White,tensed
16796,Bodily Force,Male,Native American,other/unspecified
16797,Less Lethal Weapons,Male,White,fled
16798,Bodily Force,Male,Native American,commission of crime
16799,Bodily Force,Male,Black,tensed
16800,Bodily Force,Male,White,tensed
16801,Bodily Force,Female,White,commission of crime
16802,Chemical Irritant,Female,Black,commission of crime
16803,Bodily Force,Female,Native American,tensed
16804,Bodily Force,Male,Black,commission of crime
16805,Bodily Force,Male,Black,verbal non-compliance
16806,Bodily Force,Male,White,tensed
16807,Bodily Force,Male,Black,fled
16809,Bodily Force,Male,White,verbal non-compliance
16810,Bodily Force,Male,White,assaulting police officer or animal
16811,Bodily Force,Male,Black,tensed
16812,Bodily Force,Male,Black,tensed
16813,Bodily Force,Male,Black,assaulting police officer or animal
16814,Bodily Force,Male,Black,tensed
16815,Bodily Force,Male,Black,tensed
16816,Bodily Force,Male,Black,tensed
16817,Bodily Force,Male,Black,other/unspecified
16818,Bodily Force,Male,Black,assaulting police officer or animal
16819,Bodily Force,Male,Black,tensed
16820,Bodily Force,Male,Black,commission of crime
16821,Chemical Irritant,Male,Black,verbal non-compliance
16822,Bodily Force,Male,Black,fled
16823,Less Lethal Weapons,Male,Native American,other/unspecified
16824,Bodily Force,Male,Black,fled
16825,Bodily Force,Male,Black,verbal non-compliance
16826,Less Lethal Weapons,Male,Black,fled
16827,Bodily Force,Male,White,commission of crime
16828,Chemical Irritant,Male,Native American,commission of crime
16829,Bodily Force,Male,White,tensed
16830,Bodily Force,Male,White,commission of crime
16831,Bodily Force,Male,Black,other/unspecified
16832,Bodily Force,Male,Black,tensed
16833,Bodily Force,Male,Black,fled
16834,Bodily Force,Male,Black,fled
16835,Bodily Force,Male,Black,tensed
16836,Less Lethal Weapons,Male,Black,verbal non-compliance
16837,Bodily Force,Male,Black,tensed
16838,Bodily Force,Male,Black,commission of crime
16839,Bodily Force,Male,Native American,assaulting police officer or animal
16840,Bodily Force,Female,Native American,tensed
16841,Guns,Male,Black,fled
16842,Chemical Irritant,Male,other,commission of crime
16843,Bodily Force,Male,Black,assaulting police officer or animal
16844,Bodily Force,Female,White,tensed
16845,Bodily Force,Male,Black,tensed
16846,Bodily Force,Male,Black,commission of crime
16847,Bodily Force,Male,Black,tensed
16848,Bodily Force,Male,Black,tensed
16849,Bodily Force,Male,White,fled
16850,Bodily Force,Male,White,commission of crime
16851,Less Lethal Weapons,Male,Black,commission of crime
16852,Chemical Irritant,Female,Native American,assaulting police officer or animal
16853,Bodily Force,Male,Black,tensed
16854,Guns,Male,Black,verbal non-compliance
16855,Bodily Force,Male,Black,commission of crime
16856,Bodily Force,Male,White,assaulting police officer or animal
16857,Bodily Force,Male,Black,other/unspecified
16858,Less Lethal Weapons,Male,Black,assaulting police officer or animal
16859,Chemical Irritant,Male,other,commission of crime
16860,Bodily Force,Male,other,fled
16861,Bodily Force,Female,Black,tensed
16862,Bodily Force,Male,Black,tensed
16863,Bodily Force,Male,White,tensed
16864,Chemical Irritant,Male,Black,verbal non-compliance
16865,Chemical Irritant,Female,Black,commission of crime
16866,Bodily Force,Male,White,tensed
16867,Bodily Force,Female,Black,commission of crime
16868,Bodily Force,Female,White,assaulting police officer or animal
16869,Bodily Force,Female,Native American,commission of crime
16870,Chemical Irritant,Female,White,other/unspecified
16871,Bodily Force,Female,White,tensed
16872,Bodily Force,Female,other,tensed
16873,Bodily Force,Male,Black,fled
16874,Bodily Force,Male,Black,fled
16875,Bodily Force,Male,Black,tensed
16876,Bodily Force,Male,White,tensed
16877,Bodily Force,Male,Black,tensed
16879,Bodily Force,Male,Black,other/unspecified
16880,Bodily Force,Male,Black,tensed
16881,Chemical Irritant,Female,Black,verbal non-compliance
16882,Bodily Force,Male,Black,tensed
16883,Bodily Force,Male,Black,assaulting police officer or animal
16885,Bodily Force,Female,other,assaulting police officer or animal
16886,Bodily Force,Male,White,tensed
16887,Bodily Force,Male,Black,tensed
16888,Bodily Force,Male,White,commission of crime
16889,Bodily Force,Female,Black,assaulting police officer or animal
16890,Chemical Irritant,Male,other,commission of crime
16891,Bodily Force,Male,White,tensed
16892,Less Lethal Weapons,Male,Black,verbal non-compliance
16893,Less Lethal Weapons,Male,Black,fled
16894,Chemical Irritant,Male,Native American,verbal non-compliance
16895,Bodily Force,Male,White,other/unspecified
16896,Bodily Force,Male,White,assaulting police officer or animal
16897,Bodily Force,Male,Native American,tensed
16898,Bodily Force,Male,White,verbal non-compliance
16899,Bodily Force,Female,Black,tensed
16900,Bodily Force,Male,Black,tensed
16901,Bodily Force,Male,White,fled
16902,Chemical Irritant,Female,Black,verbal non-compliance
16903,Chemical Irritant,Male,Black,tensed
16904,Bodily Force,Male,Black,commission of crime
16905,Bodily Force,Male,Black,fled
16906,Bodily Force,Male,White,tensed
16907,Bodily Force,Male,White,tensed
16908,Guns,Male,White,verbal non-compliance
16909,Bodily Force,Male,White,tensed
16910,Bodily Force,Male,Black,other/unspecified
16911,Bodily Force,Male,Black,fled
16912,Bodily Force,Male,Black,verbal non-compliance
16913,Less Lethal Weapons,Female,Black,other/unspecified
16914,Bodily Force,Male,Black,tensed
16915,Bodily Force,Male,Black,commission of crime
16916,Less Lethal Weapons,Male,Black,tensed
16917,Bodily Force,Male,Black,commission of crime
16918,Bodily Force,Male,Black,other/unspecified
16919,Bodily Force,Male,White,tensed
16920,Bodily Force,Female,Native American,tensed
16921,Bodily Force,Male,White,tensed
16922,Bodily Force,Male,Native American,tensed
16923,Bodily Force,Male,Black,assaulting police officer or animal
16924,Bodily Force,Male,Black,fled
16925,Bodily Force,Male,White,tensed
16926,Bodily Force,Male,White,tensed
16927,Bodily Force,Male,Black,commission of crime
16928,Chemical Irritant,Male,Black,commission of crime
16929,Chemical Irritant,Male,White,verbal non-compliance
16930,Bodily Force,Male,Black,assaulting police officer or animal
16931,Chemical Irritant,Male,Black,commission of crime
16932,Bodily Force,Male,Native American,tensed
16933,Bodily Force,Male,Black,commission of crime
16934,Bodily Force,Male,White,tensed
16935,Bodily Force,Male,other,fled
16936,Bodily Force,Female,Black,commission of crime
16937,Bodily Force,Male,Black,tensed
16938,Chemical Irritant,Male,Black,commission of crime
16939,Bodily Force,Male,other,tensed
16940,Bodily Force,Female,Black,assaulting police officer or animal
16941,Bodily Force,Male,Black,fled
16942,Bodily Force,Male,Black,commission of crime
16943,Bodily Force,Male,Black,tensed
16944,Bodily Force,Male,other,commission of crime
16945,Bodily Force,Male,other,commission of crime
16946,Bodily Force,Male,Black,assaulting police officer or animal
16947,Bodily Force,Male,Black,tensed
16948,Bodily Force,Male,Black,commission of crime
16949,Bodily Force,Male,Native American,fled
16950,Bodily Force,Male,other,fled
16951,Chemical Irritant,Female,White,verbal non-compliance
16952,Bodily Force,Male,Black,commission of crime
16953,Chemical Irritant,Female,White,verbal non-compliance
16954,Bodily Force,Female,Black,tensed
16955,Chemical Irritant,Male,White,commission of crime
16956,Bodily Force,Male,White,fled
16957,Chemical Irritant,Female,other,commission of crime
16958,Bodily Force,Male,White,tensed
16959,Bodily Force,Male,Black,fled
16960,Bodily Force,Male,Black,tensed
16961,Bodily Force,Male,other,other/unspecified
16962,Less Lethal Weapons,Male,Black,verbal non-compliance
16963,Bodily Force,Female,Black,tensed
16964,Bodily Force,Male,White,commission of crime
16965,Bodily Force,Male,Black,commission of crime
16966,Bodily Force,Male,Black,commission of crime
16967,Chemical Irritant,Male,Black,other/unspecified
16968,Guns,Male,other,commission of crime
16969,Bodily Force,Male,White,tensed
16970,Bodily Force,Male,White,tensed
16971,Guns,Male,other,verbal non-compliance
16972,Chemical Irritant,Male,Black,commission of crime
16973,Chemical Irritant,Male,White,commission of crime
16974,Bodily Force,Male,Black,commission of crime
16975,Bodily Force,Male,Black,tensed
16976,Bodily Force,Male,Black,fled
16977,Guns,Male,Black,other/unspecified
16978,Bodily Force,Female,Black,fled
16979,Bodily Force,Male,White,verbal non-compliance
16980,Bodily Force,Male,Black,fled
16981,Chemical Irritant,Female,Native American,commission of crime
16982,Less Lethal Weapons,Male,White,commission of crime
16983,Chemical Irritant,Female,Black,commission of crime
16984,Less Lethal Weapons,Male,Black,fled
16985,Bodily Force,Male,White,commission of crime
16986,Bodily Force,Male,White,tensed
16987,Bodily Force,Male,White,tensed
16988,Chemical Irritant,Female,other,commission of crime
16989,Chemical Irritant,Female,Black,verbal non-compliance
16990,Bodily Force,Male,Black,fled
16991,Bodily Force,Male,Black,other/unspecified
16992,Bodily Force,Male,Black,other/unspecified
16993,Bodily Force,Male,Black,commission of crime
16994,Bodily Force,Male,Black,other/unspecified
16995,Chemical Irritant,Male,other,verbal non-compliance
16996,Bodily Force,Female,White,assaulting police officer or animal
16997,Bodily Force,Male,White,assaulting police officer or animal
16998,Bodily Force,Male,Black,tensed
16999,Bodily Force,Female,White,commission of crime
17000,Bodily Force,Male,Black,fled
17001,Bodily Force,Female,other,assaulting police officer or animal
17002,Chemical Irritant,Female,other,commission of crime
17003,Bodily Force,Male,Native American,commission of crime
17004,Bodily Force,Male,Black,tensed
17005,Bodily Force,Female,White,tensed
17006,Less Lethal Weapons,Male,Black,tensed
17007,Bodily Force,Male,Black,commission of crime
17008,Bodily Force,Male,Black,other/unspecified
17009,Bodily Force,Male,White,tensed
17010,Bodily Force,Male,White,tensed
17011,Bodily Force,Male,Black,fled
17012,Bodily Force,Male,White,tensed
17013,Bodily Force,Male,Black,other/unspecified
17014,Chemical Irritant,Male,other,verbal non-compliance
17015,Bodily Force,Male,Black,tensed
17016,Less Lethal Weapons,Male,Black,commission of crime
17017,Bodily Force,Male,Black,fled
17018,Chemical Irritant,Female,Black,commission of crime
17019,Less Lethal Weapons,Male,White,assaulting police officer or animal
17020,Bodily Force,Male,Black,tensed
17021,Bodily Force,Male,White,tensed
17022,Bodily Force,Male,Black,verbal non-compliance
17023,Bodily Force,Male,Black,other/unspecified
17024,Less Lethal Weapons,Male,Black,other/unspecified
17025,Bodily Force,Male,Black,tensed
17026,Bodily Force,Female,Black,assaulting police officer or animal
17027,Bodily Force,Male,White,fled
17028,Chemical Irritant,Female,Black,commission of crime
17029,Bodily Force,Male,Black,fled
17030,Bodily Force,Male,Black,commission of crime
17031,Bodily Force,Female,Black,fled
17032,Less Lethal Weapons,Male,Black,verbal non-compliance
17033,Bodily Force,Female,other,assaulting police officer or animal
17034,Bodily Force,Male,White,tensed
17036,Bodily Force,Male,Black,tensed
17037,Bodily Force,Male,White,tensed
17038,Chemical Irritant,Female,White,verbal non-compliance
17039,Bodily Force,Male,Black,tensed
17040,Chemical Irritant,Male,Black,commission of crime
17041,Bodily Force,Female,Black,tensed
17042,Bodily Force,Female,White,tensed
17043,Bodily Force,Male,Black,tensed
17044,Bodily Force,Female,Black,commission of crime
17045,Bodily Force,Male,White,tensed
17046,Chemical Irritant,Female,Black,commission of crime
17047,Bodily Force,Male,Native American,tensed
17048,Bodily Force,Male,Black,tensed
17049,Bodily Force,Male,Black,other/unspecified
17050,Bodily Force,Female,White,fled
17051,Chemical Irritant,Male,Black,commission of crime
17052,Bodily Force,Male,White,other/unspecified
17053,Bodily Force,Male,Black,tensed
17054,Bodily Force,Male,Black,tensed
17055,Bodily Force,Male,other,fled
17056,Bodily Force,Male,Black,commission of crime
17057,Bodily Force,Male,White,other/unspecified
17058,Less Lethal Weapons,Male,Black,verbal non-compliance
17059,Bodily Force,Male,White,tensed
17060,Less Lethal Weapons,Male,Black,assaulting police officer or animal
17061,Less Lethal Weapons,Male,Native American,fled
17062,Chemical Irritant,Male,other,commission of crime
17063,Bodily Force,Female,White,assaulting police officer or animal
17064,Bodily Force,Female,White,tensed
17065,Chemical Irritant,Male,Black,other/unspecified
17066,Bodily Force,Female,Black,verbal non-compliance
17067,Less Lethal Weapons,Male,Black,fled
17068,Less Lethal Weapons,Male,Black,fled
17069,Bodily Force,Male,White,commission of crime
17070,Bodily Force,Male,Black,tensed
17071,Chemical Irritant,Male,Black,commission of crime
17072,Bodily Force,Male,Black,fled
17073,Bodily Force,Male,White,tensed
17074,Bodily Force,Male,Black,fled
17075,Bodily Force,Male,Black,tensed
17076,Bodily Force,Male,Black,verbal non-compliance
17077,Bodily Force,Male,Black,tensed
17078,Chemical Irritant,Male,Black,commission of crime
17079,Bodily Force,Female,Black,tensed
17080,Less Lethal Weapons,Male,Black,verbal non-compliance
17081,Bodily Force,Male,Black,tensed
17082,Chemical Irritant,Male,Black,verbal non-compliance
17083,Less Lethal Weapons,Male,Black,fled
17084,Chemical Irritant,Male,Black,commission of crime
17085,Guns,Male,Black,tensed
17086,Guns,Male,Black,commission of crime
17087,Chemical Irritant,Female,Black,commission of crime
17088,Bodily Force,Male,White,commission of crime
17089,Bodily Force,Male,Black,fled
17090,Bodily Force,Male,Black,commission of crime
17091,Bodily Force,Male,other,fled
17092,Chemical Irritant,Male,Black,tensed
17093,Bodily Force,Male,Black,tensed
17094,Bodily Force,Male,White,commission of crime
17095,Bodily Force,Male,Black,tensed
17096,Chemical Irritant,Male,Black,commission of crime
17097,Bodily Force,Male,Native American,commission of crime
17098,Bodily Force,Male,White,fled
17099,Chemical Irritant,Male,Black,commission of crime
17100,Less Lethal Weapons,Male,Black,verbal non-compliance
17101,Bodily Force,Male,White,assaulting police officer or animal
17102,Less Lethal Weapons,Male,White,tensed
17103,Bodily Force,Male,White,assaulting police officer or animal
17104,Bodily Force,Male,other,assaulting police officer or animal
17106,Bodily Force,Female,other,tensed
17107,Bodily Force,Male,Black,commission of crime
17108,Chemical Irritant,Male,Black,verbal non-compliance
17109,Bodily Force,Male,other,assaulting police officer or animal
17110,Bodily Force,Male,Black,tensed
17111,Chemical Irritant,Male,Black,verbal non-compliance
17112,Chemical Irritant,Male,other,commission of crime
17114,Chemical Irritant,Female,other,verbal non-compliance
17115,Bodily Force,Female,Black,verbal non-compliance
17116,Bodily Force,Male,Black,other/unspecified
17117,Bodily Force,Male,White,other/unspecified
17118,Chemical Irritant,Male,Black,tensed
17119,Chemical Irritant,Male,Black,verbal non-compliance
17120,Bodily Force,Male,Black,fled
17121,Bodily Force,Male,White,tensed
17122,Chemical Irritant,Female,Native American,verbal non-compliance
17123,Guns,Male,Black,fled
17124,Bodily Force,Male,Black,commission of crime
17125,Bodily Force,Male,Black,verbal non-compliance
17126,Chemical Irritant,Female,Black,other/unspecified
17127,Chemical Irritant,Male,other,other/unspecified
17128,Bodily Force,Male,White,tensed
17129,Bodily Force,Male,other,tensed
17130,Bodily Force,Female,White,tensed
17132,Bodily Force,Male,Black,verbal non-compliance
17133,Bodily Force,Male,Black,tensed
17134,Bodily Force,Male,White,tensed
17135,Bodily Force,Male,White,tensed
17136,Bodily Force,Male,Black,fled
17137,Chemical Irritant,Female,other,verbal non-compliance
17138,Bodily Force,Male,Black,fled
17139,Bodily Force,Female,Black,tensed
17140,Bodily Force,Male,Black,other/unspecified
17141,Bodily Force,Male,Black,fled
17142,Bodily Force,Female,Black,commission of crime
17143,Bodily Force,Male,White,tensed
17144,Bodily Force,Male,White,commission of crime
17145,Bodily Force,Female,White,assaulting police officer or animal
17146,Bodily Force,Male,Black,other/unspecified
17147,Bodily Force,Male,White,tensed
17148,Bodily Force,Male,Native American,other/unspecified
17149,Bodily Force,Male,Black,assaulting police officer or animal
17150,Chemical Irritant,Male,Black,commission of crime
17151,Bodily Force,Male,White,assaulting police officer or animal
17152,Bodily Force,Male,Black,fled
17153,Bodily Force,Male,Black,tensed
17154,Bodily Force,Male,White,assaulting police officer or animal
17155,Guns,Male,Black,other/unspecified
17156,Bodily Force,Male,Black,other/unspecified
17157,Bodily Force,Male,Black,verbal non-compliance
17158,Bodily Force,Male,White,tensed
17159,Chemical Irritant,Male,White,commission of crime
17160,Bodily Force,Male,Black,fled
17161,Bodily Force,Male,White,tensed
17162,Less Lethal Weapons,Male,Black,assaulting police officer or animal
17163,Bodily Force,Male,White,commission of crime
17164,Bodily Force,Male,Black,commission of crime
17165,Chemical Irritant,Female,Black,commission of crime
17166,Less Lethal Weapons,Male,Black,fled
17167,Bodily Force,Male,Black,other/unspecified
17168,Bodily Force,Male,Black,tensed
17169,Bodily Force,Female,Black,tensed
17170,Chemical Irritant,Unknown,other,other/unspecified
17171,Bodily Force,Male,White,fled
17172,Bodily Force,Male,White,assaulting police officer or animal
17173,Bodily Force,Male,Black,tensed
17174,Bodily Force,Male,White,fled
17175,Bodily Force,Female,Black,verbal non-compliance
17176,Chemical Irritant,Male,Black,commission of crime
17177,Bodily Force,Male,White,tensed
17178,Chemical Irritant,Female,Black,verbal non-compliance
17179,Less Lethal Weapons,Male,Black,tensed
17180,Bodily Force,Female,Black,verbal non-compliance
17181,Bodily Force,Female,Black,other/unspecified
17182,Chemical Irritant,Female,Black,verbal non-compliance
17183,Bodily Force,Female,Black,assaulting police officer or animal
17184,Bodily Force,Male,Black,tensed
17185,Chemical Irritant,Male,Black,other/unspecified
17186,Chemical Irritant,Female,Black,commission of crime
17187,Chemical Irritant,Male,other,other/unspecified
17188,Bodily Force,Female,Black,other/unspecified
17189,Guns,Male,White,verbal non-compliance
17190,Bodily Force,Female,Native American,verbal non-compliance
17191,Bodily Force,Male,White,tensed
17192,Chemical Irritant,Male,Black,commission of crime
17193,Less Lethal Weapons,Male,Black,fled
17194,Bodily Force,Male,Black,tensed
17195,Chemical Irritant,Male,White,commission of crime
17196,Chemical Irritant,Male,White,verbal non-compliance
17197,Bodily Force,Male,Black,assaulting police officer or animal
17198,Bodily Force,Male,Black,tensed
17199,Bodily Force,Male,Black,assaulting police officer or animal
17200,Bodily Force,Male,Black,tensed
17201,Bodily Force,Male,other,tensed
17202,Bodily Force,Male,White,tensed
17203,Bodily Force,Male,Native American,assaulting police officer or animal
17204,Bodily Force,Male,other,fled
17205,Chemical Irritant,Male,other,fled
17206,Bodily Force,Male,White,tensed
17207,Bodily Force,Male,White,commission of crime
17208,Bodily Force,Male,Black,tensed
17209,Bodily Force,Male,Black,tensed
17210,Bodily Force,Female,Native American,tensed
17211,Bodily Force,Male,other,assaulting police officer or animal
17212,Bodily Force,Male,Black,tensed
17213,Bodily Force,Male,Black,other/unspecified
17214,Chemical Irritant,Male,White,fled
17215,Bodily Force,Male,Black,verbal non-compliance
17217,Chemical Irritant,Male,White,verbal non-compliance
17218,Chemical Irritant,Female,Black,commission of crime
17219,Guns,Male,Black,other/unspecified
17220,Bodily Force,Male,White,tensed
17221,Bodily Force,Female,Native American,tensed
17222,Chemical Irritant,Male,Black,tensed
17223,Guns,Male,other,verbal non-compliance
17224,Bodily Force,Female,Native American,tensed
17225,Chemical Irritant,Male,Black,tensed
17226,Chemical Irritant,Male,White,commission of crime
17227,Bodily Force,Male,Native American,tensed
17228,Less Lethal Weapons,Male,Black,other/unspecified
17229,Bodily Force,Female,Black,assaulting police officer or animal
17230,Bodily Force,Male,White,commission of crime
17231,Bodily Force,Male,Black,other/unspecified
17232,Bodily Force,Male,Black,tensed
17233,Bodily Force,Female,Black,other/unspecified
17234,Chemical Irritant,Female,White,other/unspecified
17235,Bodily Force,Male,Black,tensed
17236,Chemical Irritant,Male,other,commission of crime
17237,Bodily Force,Female,Native American,tensed
17238,Chemical Irritant,Male,Black,verbal non-compliance
17239,Less Lethal Weapons,Male,Black,fled
17240,Bodily Force,Male,White,tensed
17241,Chemical Irritant,Female,Black,commission of crime
17242,Bodily Force,Male,Black,verbal non-compliance
17243,Less Lethal Weapons,Male,Black,tensed
17245,Bodily Force,Male,Black,fled
17246,Bodily Force,Male,Black,assaulting police officer or animal
17247,Less Lethal Weapons,Male,Black,verbal non-compliance
17248,Chemical Irritant,Male,Black,commission of crime
17249,Bodily Force,Male,White,commission of crime
17250,Bodily Force,Female,White,assaulting police officer or animal
